Match_ID,Date,Sport,Country,Team,Player,Opponent,Venue,Matches_Played,Goals_or_Runs,Assists_or_Wickets,Win_Percentage,Fan_Attendance,Revenue_USD,Sponsorship_USD,Social_Media_Engagement,Ranking,MVP_Awards,Injury_Status,Season,Ticket_Price_USD
MATCH1011,13-02-2024,Cricket,Germany,England,Rafael Nadal,"Li, Adkins and Smith",Sports Complex,29,30,15,37.98,49313,114960.96,1110073.44,9882386,29,0,Fit,2025,319.24
MATCH1012,02-02-2023,Cricket,Germany,India,Cristiano Ronaldo,Washington Ltd,Sports Complex,16,71,42,58.83,75678,670236.13,1871350.91,9590513,74,15,Fit,2024,405.67
MATCH1013,10-04-2023,Cricket,France,India,Stephen Curry,Brown LLC,Olympic Park,27,119,46,24.33,90649,4920984.4,201343.65,6764864,94,10,Fit,2023,103.88
MATCH1014,24-05-2023,Olympics,France,Japan Olympic Team,Virat Kohli,"Davis, Adams and Garrett",National Ground,30,63,4,55.45,77132,498564.55,1306029.06,9079560,2,2,Fit,2023,209.14
MATCH1015,04-06-2025,Tennis,France,WTA Tour,Lionel Messi,"Hall, Powell and Ward",Arena B,25,0,24,41.22,64638,1433393.65,1394700.05,9334245,85,15,Fit,2023,155.39
MATCH1016,23-01-2025,Football,Spain,Bayern Munich,Lionel Messi,"Medina, Taylor and Lane",National Ground,4,12,37,58.14,74615,795589.31,1921753.91,1354047,24,2,Recovering,2023,340.85
MATCH1017,03-05-2023,Cricket,Japan,Pakistan,Rohit Sharma,"Kirk, Lopez and Miller",Sports Complex,39,10,39,26.56,91163,2922524.72,1047951.52,4384922,27,10,Fit,2024,203.94
MATCH1018,20-11-2023,Basketball,USA,Bulls,Lionel Messi,"Barrera, Lawson and Hancock",Olympic Park,40,144,6,25.86,32938,2534364.62,269250.86,5865396,9,7,Minor Injury,2024,87.3
MATCH1019,18-09-2024,Olympics,Spain,China Olympic Team,Lionel Messi,Morrison-Miller,Sports Complex,20,169,6,95.11,22601,1329684.95,1779976.85,9291552,20,8,Minor Injury,2025,113.21
MATCH1020,04-12-2024,Basketball,Australia,Warriors,Kylian Mbappe,"Fuentes, Gomez and Scott",Olympic Park,17,13,5,70.74,41265,229992.94,670445.29,2204789,82,8,Fit,2025,226.5
MATCH1021,25-04-2023,Tennis,USA,ATP Tour,Virat Kohli,Patterson-Johnson,Sports Complex,3,94,37,64.2,61333,645953.14,619975.41,679324,46,6,Recovering,2023,336.8
MATCH1022,14-06-2025,Basketball,France,Nets,Erling Haaland,Wilson-Brady,Arena B,16,41,11,90.51,8248,905009.71,1849352.15,6917400,86,7,Minor Injury,2023,395.81
MATCH1023,12-06-2025,Football,India,PSG,Rafael Nadal,"Brown, Frank and Higgins",Arena B,13,117,22,44.42,34831,1122388.5,1321766.2,6695149,43,8,Fit,2024,182.06
MATCH1024,26-11-2024,Olympics,Spain,Japan Olympic Team,Stephen Curry,Velasquez LLC,Stadium A,8,66,11,66.45,39795,200903.41,1195159.65,5809667,94,10,Minor Injury,2025,492.28
MATCH1025,13-08-2024,Football,England,PSG,LeBron James,Clark Group,Stadium A,46,111,0,61.59,75575,3437417.16,1880824.93,3315700,47,13,Fit,2025,461.18
MATCH1026,10-11-2024,Olympics,USA,China Olympic Team,LeBron James,Kramer-Allen,Sports Complex,20,170,26,46.09,96384,1485319.46,258939.16,7063918,86,12,Recovering,2025,452.37
MATCH1027,20-02-2024,Olympics,Spain,China Olympic Team,Lionel Messi,"Vincent, Soto and Marshall",National Ground,19,53,27,82.86,84516,3276981.06,932651.44,7428210,87,6,Recovering,2024,398.93
MATCH1028,18-10-2023,Cricket,Spain,India,Erling Haaland,Sparks-Mccarty,National Ground,6,192,15,73.82,34444,4034748.84,298971.15,785337,32,15,Recovering,2023,233.15
MATCH1029,05-01-2025,Olympics,France,India Olympic Team,Rafael Nadal,Walker-Gallegos,Olympic Park,16,37,41,75.01,18970,3894317.83,441588.07,8699889,60,1,Recovering,2023,459.56
MATCH1030,17-05-2023,Football,Argentina,PSG,Kylian Mbappe,Richard Group,Sports Complex,39,81,48,91.31,85301,4076882.47,1784580.49,7169521,71,14,Fit,2025,432.13
MATCH1031,08-02-2025,Tennis,England,Grand Slam,LeBron James,Martin-Hill,Sports Complex,32,160,15,41.97,15155,3570588.86,472814.69,5644586,41,17,Fit,2023,83.91
MATCH1032,24-12-2024,Tennis,England,WTA Tour,Cristiano Ronaldo,"Peterson, Schmidt and Silva",Olympic Park,27,84,34,57.27,13161,1042103.6,843186.32,9809226,90,0,Recovering,2024,243.72
MATCH1033,10-02-2025,Basketball,France,Celtics,Novak Djokovic,"Harding, Lamb and Vaughan",Sports Complex,48,188,34,83.99,33906,2446265.09,549505.95,8157720,4,12,Minor Injury,2025,342.78
MATCH1034,10-05-2025,Tennis,Argentina,WTA Tour,Virat Kohli,Mora-Johnson,Sports Complex,35,6,25,67.35,91900,145239.21,1287285.55,2286659,60,5,Fit,2024,195.76
MATCH1035,01-12-2023,Cricket,Germany,Pakistan,Novak Djokovic,Avila-Robinson,National Ground,49,107,16,86.79,66644,106722.6,1081141,5881360,29,20,Fit,2025,29.73
MATCH1036,24-07-2023,Football,India,Barcelona,Erling Haaland,Golden PLC,Arena B,16,32,30,73.56,78920,4739307.54,932742.8,4309055,99,11,Fit,2025,307.55
MATCH1037,15-11-2023,Football,USA,Barcelona,Erling Haaland,Wise-Rios,Stadium A,20,147,43,92.64,54192,1989305.66,1431454.34,1285009,76,20,Fit,2023,351.62
MATCH1038,04-04-2025,Basketball,USA,Nets,Erling Haaland,"Thompson, Morgan and Kerr",Stadium A,23,136,27,72.92,14038,2534744.34,685756.19,7057416,63,3,Minor Injury,2024,321.44
MATCH1039,21-03-2024,Tennis,Brazil,WTA Tour,Kylian Mbappe,Adams-Jordan,National Ground,40,137,49,58.68,62091,4130415.65,1186986.87,5417373,32,2,Minor Injury,2024,129.49
MATCH1040,11-12-2023,Tennis,India,Davis Cup,Rafael Nadal,"Edwards, Pugh and Smith",National Ground,12,124,13,48.39,38862,1708290.83,1761238.36,4645017,72,0,Recovering,2023,51.95
MATCH1041,22-07-2024,Tennis,England,Davis Cup,Rafael Nadal,Williams Ltd,Olympic Park,29,4,5,43.54,58005,3462017.9,615881.03,9766883,48,15,Recovering,2025,178.44
MATCH1042,27-12-2023,Olympics,Argentina,China Olympic Team,LeBron James,Brown-Vega,National Ground,17,59,7,77.7,46359,606578.16,1074048.61,3116298,25,6,Recovering,2024,145.48
MATCH1043,13-04-2023,Olympics,England,China Olympic Team,LeBron James,Griffin-Haley,Arena B,24,45,19,21.13,75010,641648.97,95803.82,924794,71,9,Recovering,2023,322.56
MATCH1044,12-06-2025,Tennis,India,ATP Tour,Erling Haaland,Estes-Jensen,National Ground,31,122,28,47.26,11734,1269867.17,1724137.31,1924064,9,12,Minor Injury,2023,292.74
MATCH1045,02-06-2023,Football,Japan,Barcelona,LeBron James,Rush and Sons,Stadium A,16,30,35,81.16,84471,2984672.96,1238744.61,8777312,49,14,Minor Injury,2024,431.48
MATCH1046,05-08-2024,Tennis,Japan,Grand Slam,Lionel Messi,Burton-Hodge,Sports Complex,48,25,48,36.62,32659,1330584.17,166968.99,4034269,23,17,Fit,2023,11.31
MATCH1047,26-10-2023,Tennis,India,Davis Cup,Rohit Sharma,Wood Ltd,National Ground,46,72,44,88.77,14329,3440050.75,1848202.53,9905027,85,6,Minor Injury,2023,276.84
MATCH1048,26-04-2025,Cricket,Brazil,England,Cristiano Ronaldo,Casey Group,Stadium A,11,78,38,79.92,79607,4606750.72,881111.13,7873447,89,9,Recovering,2024,471.91
MATCH1049,24-03-2024,Olympics,USA,Japan Olympic Team,Erling Haaland,Miller and Sons,Stadium A,28,188,20,68.3,8390,465721.16,1924012.65,9660239,76,0,Recovering,2024,292.36
MATCH1050,15-06-2024,Cricket,Argentina,Pakistan,LeBron James,"Waters, Lozano and Parrish",Arena B,38,111,40,85.14,16959,2355351.87,819654.45,5396463,86,3,Fit,2024,211.71
MATCH1051,09-11-2024,Tennis,France,Grand Slam,Kylian Mbappe,Mullins-Park,Stadium A,30,22,20,40.19,20194,4851221.79,811329.24,8643492,1,17,Minor Injury,2024,36.56
MATCH1052,29-09-2024,Olympics,Argentina,China Olympic Team,Rafael Nadal,Rush-Wright,Stadium A,14,68,35,30.48,42752,2196199.31,1398008.81,2047191,4,20,Recovering,2023,357.79
MATCH1053,15-01-2023,Basketball,Spain,Nets,Novak Djokovic,"Schwartz, Terry and Barton",Stadium A,15,29,29,95.76,89896,4162394.44,999259.13,4906624,66,8,Minor Injury,2024,490.32
MATCH1054,18-07-2024,Cricket,Brazil,Pakistan,Novak Djokovic,White and Sons,Arena B,39,130,47,90.35,14150,1388474.54,1581062.33,6971578,44,16,Minor Injury,2023,148.59
MATCH1055,16-08-2024,Basketball,Argentina,Nets,Virat Kohli,"Rodriguez, Fowler and Mueller",Olympic Park,35,123,22,46.6,76228,1892278.17,1866040.25,3175061,90,7,Recovering,2024,124.45
MATCH1056,22-11-2023,Tennis,Argentina,ATP Tour,Novak Djokovic,"Payne, Bell and Cochran",Olympic Park,43,166,9,59.63,9852,639968.89,1930880.41,5579946,13,14,Fit,2025,456.12
MATCH1057,24-02-2024,Football,Brazil,Barcelona,Cristiano Ronaldo,"Kennedy, Walters and Riley",Olympic Park,17,86,39,75.42,90175,410773.45,660488.35,8962696,49,10,Recovering,2025,444.84
MATCH1058,24-09-2024,Tennis,USA,ATP Tour,Rohit Sharma,Rich Ltd,National Ground,15,191,5,54.72,17903,3804244.77,1409262.2,1696231,57,5,Recovering,2024,452.68
MATCH1059,26-03-2025,Football,India,Manchester City,LeBron James,Reilly-Williams,National Ground,24,110,9,39.54,59008,2833981.03,1586076.35,2861852,23,2,Recovering,2024,313.66
MATCH1060,20-08-2024,Cricket,Brazil,Pakistan,Rohit Sharma,Morgan-Meyer,Olympic Park,41,65,29,40.43,6231,4495553.57,933180.24,4835658,87,17,Fit,2023,226.45
MATCH1061,03-11-2023,Basketball,France,Nets,LeBron James,"Brown, Brown and Garcia",Olympic Park,20,50,24,88.27,18979,1193656.45,1145985.77,9653743,38,9,Fit,2025,203.94
MATCH1062,04-06-2025,Football,India,Bayern Munich,Erling Haaland,"Cisneros, Smith and Cobb",Olympic Park,19,198,14,68.57,51179,1102832.65,384313.32,4214819,87,4,Recovering,2023,452.67
MATCH1063,18-03-2025,Football,Argentina,Manchester City,Lionel Messi,Barr-Simmons,Sports Complex,24,187,8,27.21,43680,1640328.44,833928.67,3378777,17,17,Minor Injury,2025,255.88
MATCH1064,21-09-2023,Basketball,Argentina,Warriors,LeBron James,Austin-Perez,National Ground,8,119,4,31.26,34571,4302101.58,1449812.34,6677458,72,11,Fit,2024,16.82
MATCH1065,10-04-2024,Olympics,Germany,Team USA,LeBron James,Gallegos-Davis,Sports Complex,25,163,23,28.67,35647,2362669.57,1240996,9428852,42,19,Fit,2025,40.98
MATCH1066,26-10-2024,Tennis,France,Grand Slam,Cristiano Ronaldo,Allen-Anderson,Arena B,3,9,19,99.67,20220,494988.07,1775082.32,2286065,50,14,Minor Injury,2025,475.2
MATCH1067,24-08-2024,Olympics,Brazil,Japan Olympic Team,Novak Djokovic,Miller-Yates,Stadium A,32,157,26,95.12,41666,173254.27,744207.27,7448733,57,7,Minor Injury,2023,490.65
MATCH1068,22-10-2024,Basketball,Germany,Nets,Lionel Messi,Davis Group,Olympic Park,18,48,7,95.92,64600,467450.38,428151.1,368318,7,10,Fit,2023,395.62
MATCH1069,29-04-2025,Cricket,Spain,India,Rohit Sharma,Johnson-Hill,Sports Complex,14,59,21,81.95,83116,24149.4,1717520.22,2437461,17,17,Minor Injury,2023,63.86
MATCH1070,16-01-2023,Football,Germany,Barcelona,Rohit Sharma,Moyer LLC,Sports Complex,21,4,11,41.23,21614,3711173.1,1054540.63,1076326,61,14,Minor Injury,2025,300.9
MATCH1071,21-09-2024,Tennis,India,WTA Tour,Kylian Mbappe,"Parker, Clark and Sampson",National Ground,30,164,1,24.87,67781,4238019.73,855415.87,1821298,63,14,Fit,2023,167.83
MATCH1072,10-05-2023,Cricket,Australia,India,Erling Haaland,Sweeney and Sons,Sports Complex,36,182,20,50.47,83301,2657478.62,910162.26,7227547,13,3,Recovering,2025,440.08
MATCH1073,16-03-2024,Olympics,Argentina,India Olympic Team,Rohit Sharma,Ortiz-Huynh,Olympic Park,22,116,25,53.28,17463,1569616.27,628484.52,4286341,48,4,Recovering,2024,42.9
MATCH1074,18-03-2024,Football,USA,Real Madrid,Stephen Curry,"Smith, Ellis and Mora",Arena B,36,15,37,96.53,78620,1654933.45,248851.41,5942391,86,13,Recovering,2023,484.52
MATCH1075,27-12-2023,Olympics,USA,China Olympic Team,Erling Haaland,Sloan-Mathis,Sports Complex,14,39,42,58.58,19184,1757068.83,1114749.62,1937455,98,8,Recovering,2023,405.54
MATCH1076,15-09-2024,Olympics,Australia,Team USA,Lionel Messi,Ward-Lewis,Arena B,18,179,48,44.72,49541,1761606.87,366904.09,2413361,73,12,Fit,2023,373.07
MATCH1077,03-02-2025,Football,Spain,Real Madrid,Rohit Sharma,"Coleman, Hood and Le",Olympic Park,27,116,21,32.59,45846,3610763.88,1554787.06,9532639,77,2,Fit,2023,87.13
MATCH1078,21-11-2024,Olympics,USA,Team USA,LeBron James,Rodriguez-Black,Olympic Park,43,108,31,68.57,59287,1373102.55,1511111.57,1919540,45,13,Fit,2024,342.33
MATCH1079,23-06-2024,Olympics,Australia,Japan Olympic Team,Lionel Messi,Brown-Woods,Arena B,26,153,3,20.61,44507,4727167.2,1535862.31,4296905,38,10,Fit,2023,253.72
MATCH1080,13-05-2023,Tennis,France,WTA Tour,Kylian Mbappe,Barrera-Miller,Arena B,33,143,42,84.5,14447,1991385.16,1485372.45,7328550,3,14,Fit,2024,292.12
MATCH1081,27-12-2024,Olympics,France,Japan Olympic Team,LeBron James,"Wolf, Johnson and Walker",Stadium A,26,5,20,33.75,86018,2305883.54,1380772.03,6080880,12,13,Fit,2023,223.48
MATCH1082,10-02-2024,Tennis,Australia,ATP Tour,Stephen Curry,"Ellis, Thompson and Williams",Arena B,22,199,10,26.11,87998,578992.93,1022354.36,5871544,45,20,Fit,2023,60.37
MATCH1083,27-06-2023,Basketball,Japan,Warriors,Virat Kohli,"Robbins, Franklin and Lang",Stadium A,12,197,40,59.53,78889,3801786.98,900565.99,9480600,83,20,Recovering,2024,433.48
MATCH1084,26-03-2024,Basketball,USA,Warriors,Rafael Nadal,Payne-Anderson,Olympic Park,41,77,50,41.97,12362,1766191.69,153010.36,7756753,58,1,Fit,2024,417.53
MATCH1085,21-09-2024,Football,Japan,Real Madrid,Kylian Mbappe,Soto PLC,Olympic Park,30,148,35,96.34,10376,2254171.18,1620582.76,3168134,42,19,Minor Injury,2025,83.92
MATCH1086,16-04-2023,Football,Germany,PSG,Cristiano Ronaldo,"Christensen, Griffin and Baker",Sports Complex,42,44,2,39.82,62377,4955020.25,1050516.76,2673319,47,11,Minor Injury,2024,210.3
MATCH1087,23-02-2023,Basketball,Germany,Nets,Cristiano Ronaldo,Page-Church,National Ground,7,142,43,50.93,38029,3621430.94,1314845.35,2532845,43,2,Recovering,2025,79.3
MATCH1088,02-11-2024,Basketball,France,Celtics,Virat Kohli,Orozco Inc,Sports Complex,46,21,19,64.71,89343,3960393.17,1627303.64,8841414,12,20,Recovering,2024,259.16
MATCH1089,13-11-2023,Football,Brazil,Manchester City,Rohit Sharma,Berger-Manning,National Ground,50,124,12,38.12,23030,783176.41,595105.24,1706860,65,17,Recovering,2025,28.5
MATCH1090,15-05-2023,Basketball,Japan,Nets,Novak Djokovic,Ford and Sons,Arena B,11,46,44,81.69,26697,3608703.16,92166.39,6121929,87,7,Minor Injury,2025,149.61
MATCH1091,30-06-2024,Tennis,England,WTA Tour,LeBron James,Lee Ltd,Olympic Park,13,94,43,95.77,62749,2313783.09,567134.61,6416756,65,16,Minor Injury,2023,410.28
MATCH1092,12-06-2025,Olympics,Australia,India Olympic Team,Lionel Messi,Johnson Group,Olympic Park,24,141,6,76.91,72621,4257318.58,573700.71,2699594,35,14,Recovering,2023,417.21
MATCH1093,16-04-2025,Football,Argentina,Barcelona,Stephen Curry,Smith-Adams,Stadium A,27,13,25,60.16,35903,1936968.93,167802.85,3777135,4,10,Fit,2025,328.48
MATCH1094,09-02-2023,Cricket,Australia,Australia,Rafael Nadal,Lopez-Shaw,Arena B,49,180,30,55.89,5688,4530228.87,42912.75,3628086,20,17,Recovering,2025,268.61
MATCH1095,01-09-2023,Football,Australia,Manchester City,Cristiano Ronaldo,Estrada Ltd,Stadium A,16,107,40,83.51,64914,323407.68,1674192,8395742,77,17,Fit,2025,262.53
MATCH1096,26-10-2023,Cricket,France,Australia,Lionel Messi,Spears Ltd,Sports Complex,23,61,36,53.33,92080,3344392.37,1049351.69,6059927,9,16,Recovering,2025,395.34
MATCH1097,04-02-2024,Olympics,Argentina,Team USA,Lionel Messi,"Griffith, Flores and Perry",Olympic Park,24,64,47,21.3,13855,1730564.44,1467217.34,1749191,99,18,Recovering,2024,75.37
MATCH1098,13-12-2023,Basketball,Brazil,Nets,Rafael Nadal,"Flowers, Jones and Ingram",Olympic Park,41,46,8,25.05,64988,194549.11,407174.03,3356548,6,10,Minor Injury,2025,205.13
MATCH1099,17-09-2023,Olympics,India,Japan Olympic Team,Rohit Sharma,"Mason, Jones and Watson",National Ground,23,199,3,89.26,48506,1373350.86,1599688.11,7340827,52,14,Minor Injury,2024,487.12
MATCH1100,12-01-2024,Tennis,Spain,Davis Cup,LeBron James,Duran Ltd,Stadium A,47,108,5,54.45,28652,2731917.24,645816.8,1353333,42,9,Minor Injury,2024,305.28
MATCH1101,07-12-2024,Tennis,Argentina,WTA Tour,Stephen Curry,Bean PLC,Olympic Park,3,186,22,69.19,62008,1380031.25,1960154.42,972308,10,20,Minor Injury,2024,261.41
MATCH1102,27-05-2023,Cricket,Japan,India,Rafael Nadal,"Floyd, Briggs and Watson",Stadium A,9,17,15,82.28,53015,1817131.41,1899186.89,553335,78,4,Recovering,2024,474.92
MATCH1103,20-02-2025,Basketball,USA,Bulls,Erling Haaland,Black-Guerra,Arena B,34,93,25,45.15,41528,1255562.15,231329.98,3131368,64,16,Minor Injury,2025,67.7
MATCH1104,08-08-2023,Basketball,Japan,Bulls,LeBron James,Crane-Benton,Olympic Park,13,31,8,88.23,64250,871555.26,1428172.94,1482884,88,10,Recovering,2024,357.67
MATCH1105,04-11-2023,Olympics,Brazil,China Olympic Team,Virat Kohli,Sutton and Sons,National Ground,33,57,7,98.81,23202,1191313.56,990573.77,6064838,71,18,Minor Injury,2024,403.79
MATCH1106,18-09-2024,Olympics,USA,India Olympic Team,Cristiano Ronaldo,"Rodriguez, Yoder and Gomez",National Ground,26,183,46,58.29,58843,3848131.11,1647562.1,1247331,17,10,Recovering,2023,230.49
MATCH1107,12-05-2023,Olympics,Spain,China Olympic Team,Erling Haaland,Kelly and Sons,Arena B,50,33,27,60.23,12263,4158640.12,1038613.76,5112363,22,5,Minor Injury,2025,120.48
MATCH1108,16-05-2025,Olympics,USA,China Olympic Team,LeBron James,Wolfe-Rivera,Arena B,41,141,17,30.01,44691,3075997.11,191389.67,2839240,76,18,Fit,2023,332.78
MATCH1109,12-05-2025,Olympics,Japan,China Olympic Team,Lionel Messi,"Warner, Green and Mcguire",Stadium A,6,11,41,81.68,39688,3259138.59,1535083.21,6999166,80,20,Fit,2024,445.61
MATCH1110,19-10-2024,Olympics,Australia,China Olympic Team,Rafael Nadal,Logan LLC,Arena B,44,103,19,56.28,95257,308966.03,882012.97,8134385,60,6,Minor Injury,2025,80.4
MATCH1111,13-02-2024,Basketball,Brazil,Celtics,Stephen Curry,"Bell, Norris and Mcdaniel",Sports Complex,36,27,20,39.34,21059,1344683.66,499598.17,1634230,7,9,Minor Injury,2025,214.89
MATCH1112,14-08-2024,Cricket,Germany,England,Rohit Sharma,Robinson-Young,Arena B,32,131,29,59.9,45441,2491877.66,184647.94,6607509,65,14,Fit,2023,295.84
MATCH1113,16-10-2023,Football,Argentina,Real Madrid,Erling Haaland,Nelson Ltd,Olympic Park,19,137,0,87.77,61482,678335.37,532623.44,6146730,98,12,Minor Injury,2023,206.28
MATCH1114,07-01-2024,Olympics,Spain,India Olympic Team,LeBron James,Coleman-Peterson,Stadium A,25,129,28,81.15,41663,4128303.48,1248366.95,2003318,17,3,Minor Injury,2024,399.5
MATCH1115,10-01-2024,Basketball,Brazil,Nets,Rohit Sharma,"House, Costa and Cooley",Sports Complex,33,102,32,23.22,10100,693811.5,669416.21,7958107,67,14,Fit,2025,447.63
MATCH1116,19-09-2024,Cricket,Germany,England,Virat Kohli,"Cohen, Pittman and Dougherty",Olympic Park,40,189,19,67.5,71494,4143164.04,1067017.96,9454301,39,15,Fit,2024,172.31
MATCH1117,20-08-2024,Football,Australia,PSG,Lionel Messi,Davis LLC,Sports Complex,31,67,41,82.63,80821,2892395.64,1444193.22,9799896,62,5,Recovering,2025,363.38
MATCH1118,21-04-2025,Tennis,England,WTA Tour,Lionel Messi,Burns-Jones,Sports Complex,45,28,12,21.51,46116,2099713.69,828855.42,3430734,53,16,Recovering,2024,437.68
MATCH1119,15-06-2024,Football,England,Barcelona,Kylian Mbappe,Brennan PLC,National Ground,43,122,33,50.15,27699,2303721.02,1068588.49,9174943,46,20,Recovering,2024,308.94
MATCH1120,13-10-2023,Cricket,Spain,Australia,LeBron James,"Burke, Baxter and Blake",Arena B,20,197,18,76.39,95471,3527891.42,637496.29,5861946,72,8,Minor Injury,2023,291
MATCH1121,09-02-2024,Olympics,Germany,Japan Olympic Team,Virat Kohli,"Nelson, Newman and Gentry",National Ground,3,73,45,26.32,62983,3283300.53,1495940.31,3600102,26,17,Minor Injury,2025,351.12
MATCH1122,22-09-2024,Cricket,Japan,India,Rohit Sharma,Schultz-Watson,Arena B,4,171,33,38.05,35518,271930.62,829536.23,7935622,13,4,Fit,2025,489.18
MATCH1123,30-10-2024,Cricket,Argentina,Pakistan,Rafael Nadal,Burke-Potts,Arena B,49,73,20,42.83,12754,4540605.42,183474.14,9642359,30,17,Recovering,2025,426.66
MATCH1124,03-03-2024,Football,Brazil,Barcelona,Lionel Messi,Thompson-Garcia,Olympic Park,32,47,47,96.97,42941,4384948.41,23488,9538818,78,3,Minor Injury,2024,232.63
MATCH1125,18-05-2023,Olympics,Spain,Japan Olympic Team,Rafael Nadal,Gardner PLC,National Ground,13,28,21,33,65150,3244943.84,1438603.36,246293,95,10,Minor Injury,2025,340.46
MATCH1126,17-09-2024,Cricket,France,Australia,Novak Djokovic,Coffey and Sons,Sports Complex,21,22,25,73.54,29219,4908609.11,957520.93,4171539,1,8,Minor Injury,2023,228.9
MATCH1127,06-11-2023,Basketball,Japan,Celtics,Erling Haaland,Davis PLC,Stadium A,17,167,23,75.42,13142,3342252.71,933463.01,2689603,52,16,Recovering,2024,348.24
MATCH1128,21-09-2024,Basketball,England,Celtics,Rohit Sharma,Simpson Ltd,Arena B,31,39,29,79.82,84395,1874387.96,1405371.75,7909184,97,17,Recovering,2023,383.31
MATCH1129,22-06-2024,Olympics,Argentina,Team USA,Kylian Mbappe,Johnson Group,National Ground,5,144,7,24.94,76781,4515411.92,408302.77,9013663,20,5,Minor Injury,2025,226.5
MATCH1130,15-05-2024,Cricket,USA,CSK,Kylian Mbappe,Cabrera-Howard,Olympic Park,4,116,8,61.06,64873,2823916.81,1119800.41,5180227,93,0,Minor Injury,2024,410.06
MATCH1131,16-03-2023,Cricket,India,CSK,Novak Djokovic,Powell Ltd,National Ground,45,16,34,99.53,14046,4930824.87,946782.05,4826582,53,5,Fit,2025,489.38
MATCH1132,27-01-2024,Tennis,Argentina,Grand Slam,Novak Djokovic,Torres Ltd,Olympic Park,6,174,42,89.96,22431,3271135.15,698800.92,3004290,69,12,Recovering,2023,366.65
MATCH1133,13-02-2025,Cricket,India,India,LeBron James,Davidson-Mason,Olympic Park,44,184,34,53.93,54712,4118568.58,498786.52,5817596,20,8,Fit,2025,385.09
MATCH1134,21-09-2024,Football,India,PSG,Rohit Sharma,Smith-Bishop,Arena B,5,25,38,22.69,83352,3363397.95,1745063.77,4115957,95,1,Minor Injury,2024,124.83
MATCH1135,24-05-2023,Cricket,Spain,India,LeBron James,"Hernandez, Harris and Patterson",Arena B,47,147,20,66.2,93150,4093728.62,477623.55,2413511,85,16,Fit,2024,157.25
MATCH1136,28-08-2024,Football,Brazil,Bayern Munich,Novak Djokovic,"Santiago, Johns and Mullen",Sports Complex,32,12,22,95.33,92994,1911961.62,1051303.8,6994768,53,4,Minor Injury,2024,100.1
MATCH1137,04-09-2023,Olympics,England,Japan Olympic Team,LeBron James,"Mcdaniel, Hoffman and Davenport",Arena B,30,14,35,53.01,59592,2790860.92,272515.04,4084489,33,6,Minor Injury,2025,48.74
MATCH1138,05-04-2023,Tennis,Spain,Grand Slam,Rohit Sharma,Young-Sandoval,Stadium A,18,96,43,68.4,10183,4369366.09,380385.77,9868018,93,17,Fit,2024,112.36
MATCH1139,16-01-2023,Basketball,England,Celtics,Rohit Sharma,Wells LLC,Stadium A,48,193,30,93.16,96177,3025963.66,413003.72,4025307,71,10,Minor Injury,2024,238.46
MATCH1140,25-09-2023,Basketball,Germany,Celtics,Kylian Mbappe,"Smith, Pittman and Stevens",Olympic Park,30,25,46,57.56,46973,4572509.19,744556.32,6954595,6,18,Fit,2025,81.5
